plant,lotus_id,wikidata_id,name,smiles,inchikey,molecular_formula,MW,n_atoms,n_rings,npl_score
Embelia ribes,LTS0136079,Q27068169,embelin,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,IRSFLDGTOHBADP-UHFFFAOYSA-N,C17H26O4,294.3865895551441,21,1,1.5901766509044342
Embelia ribes,LTS0181481,Q27134335,5-o-methylembelin,CCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O,KHBJLRRAMCJZLZ-UHFFFAOYSA-N,C18H28O4,308.4132069595837,22,1,1.324975418414512
Embelia ribes,LTS0267865,Q77386066,"2,5-dihydroxy-3-pentadecylcyclohexa-2,5-diene-1,4-dione",CCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,GXDURRGUXLDZKN-UHFFFAOYSA-N,C21H34O4,350.4930591729024,25,1,1.4957483867597248
Embelia ribes,LTS0088970,Q27108148,rapanone,CCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,AMKNOBHCKRZHIO-UHFFFAOYSA-N,C19H30O4,322.43982436402325,23,1,1.5388569421301355
Embelia ribes,LTS0035708,Q83068976,"2-[(2,5-dihydroxy-3,6-dioxo-4-undecylcyclohexa-1,4-dien-1-yl)methyl]-3,6-dihydroxy-5-undecylcyclohexa-2,5-diene-1,4-dione",CCCCCCCCCCCC1=C(O)C(=O)C(CC2=C(O)C(=O)C(CCCCCCCCCCC)=C(O)C2=O)=C(O)C1=O,SSBANIVTGNXXSJ-UHFFFAOYSA-N,C35H52O8,600.783915007076,43,2,1.6214726352465538
Embelia ribes,LTS0131111,Q104970329,"5,6-dihydroxy-3-[(2e)-3-hydroxy-5-oxo-4-tridecylfuran-2-ylidene]-7-tridecyl-1-benzofuran-2-one",CCCCCCCCCCCCCC1=C(O)C(=C2C(=O)Oc3c2cc(O)c(O)c3CCCCCCCCCCCCC)OC1=O,CUKDXKLGQVRPBL-WIKZRCHHSA-N,C38H58O7,626.8643622928254,45,4,1.122610066361384
Embelia ribes,LTS0117079,Q415007,(+)-catechol,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,PFTAWBLQPZVEMU-DZGCQCFKSA-N,C15H14O6,290.2686385707974,21,4,1.0
Embelia ribes,LTS0071224,Q104415282,stigmast-5-en-3-ol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,KZJWDPNRJALLNS-BWRKXDIJSA-N,C29H50O,414.70778362571076,30,10,1.0
Embelia ribes,LTS0083705,Q105148792,"2-{[3,6-dioxo-5-(pentyloxy)cyclohexa-1,4-dien-1-yl]methyl}-6-[(4-hydroxyoctadecyl)oxy]cyclohexa-2,5-diene-1,4-dione",CCCCCCCCCCCCCCC(O)CCCOC1=CC(=O)C=C(CC2=CC(=O)C=C(OCCCCC)C2=O)C1=O,LANXOGXUPZKSRS-UHFFFAOYSA-N,C36H54O7,598.8111274839462,43,2,1.0886143600579261
Embelia ribes,LTS0100202,Q104996822,"2-{[7-hydroxy-1-(4-hydroxy-3,5-dimethoxyphenyl)-3-(hydroxymethyl)-6,8-dimethoxy-1,2,3,4-tetrahydronaphthalen-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",COc1cc(C2c3c(cc(OC)c(O)c3OC)CC(CO)C2OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,FKUXFLUNGWSGIY-UHFFFAOYSA-N,C27H36O13,568.5680004094065,40,5,1.0
Embelia ribes,LTS0168132,Q121802,sitosterol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,KZJWDPNRJALLNS-VJSFXXLFSA-N,C29H50O,414.70778362571076,30,10,1.0
Embelia ribes,LTS0107095,Q105148790,"2-{[3,6-dioxo-5-(pentyloxy)cyclohexa-1,4-dien-1-yl]methyl}-6-{[(4s)-4-hydroxyoctadecyl]oxy}cyclohexa-2,5-diene-1,4-dione",CCCCCCCCCCCCCCC(O)CCCOC1=CC(=O)C=C(CC2=CC(=O)C=C(OCCCCC)C2=O)C1=O,LANXOGXUPZKSRS-PMERELPUSA-N,C36H54O7,598.8111274839462,43,2,1.0886143600579261
Embelia ribes,LTS0204616,Q63409374,"stigmast-5-en-3-ol, (3β)-",CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,KZJWDPNRJALLNS-UHFFFAOYSA-N,C29H50O,414.70778362571076,30,10,1.0
Embelia ribes,LTS0192524,Q105182715,"2-(4-hydroxy-2,6-dimethoxyphenoxy)-6-(hydroxymethyl)oxane-3,4,5-triol",COc1cc(O)cc(OC)c1OC1OC(CO)C(O)C(O)C1O,NOQYJICHFNSIFZ-UHFFFAOYSA-N,C14H20O9,332.30376197967234,23,2,1.0
Embelia ribes,LTS0202780,Q15426244,koaburaside,COc1cc(OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,SWHCKWOYUSDWOF-RGCYKPLRSA-N,C14H20O9,332.30376197967234,23,2,1.0
Embelia ribes,LTS0201798,Q15410900,sitogluside,CCC(CCC(C)C1CCC2C3CC=C4CC(OC5OC(CO)C(O)C(O)C5O)CCC4(C)C3CCC12C)C(C)C,NPJICTMALKLTFW-OFUAXYCQSA-N,C35H60O6,576.8486311825436,41,11,1.0
Embelia ribes,LTS0161769,Q105155604,"5-(heptadeca-8,11-dien-1-yl)benzene-1,3-diol",CCCCCC=CCC=CCCCCCCCc1cc(O)cc(O)c1,LQLSZSURMCEKFF-UHFFFAOYSA-N,C23H36O2,344.53160261899114,25,1,1.0
Embelia ribes,LTS0142409,Q104197838,"5-(pentadec-8-en-1-yl)benzene-1,3-diol",CCCCCCC=CCCCCCCCc1cc(O)cc(O)c1,TUGAUFMQYWZJAB-UHFFFAOYSA-N,C21H34O2,318.4942493177636,23,1,1.0
Embelia ribes,LTS0158828,Q104415326,"2-{[1-(5-ethyl-6-methylheptan-2-yl)-9a,11a-dimethyl-1h,2h,3h,3ah,3bh,4h,6h,7h,8h,9h,9bh,10h,11h-cyclopenta[a]phenanthren-7-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",CCC(CCC(C)C1CCC2C3CC=C4CC(OC5OC(CO)C(O)C(O)C5O)CCC4(C)C3CCC12C)C(C)C,NPJICTMALKLTFW-UHFFFAOYSA-N,C35H60O6,576.8486311825436,41,11,1.0
Embelia ribes,LTS0076809,Q105183066,"(2r,3r,4s,5s,6s)-2-{[(1r,3as,3bs,7s,9ar,9bs,11ar)-1-[(2r,5r)-5-ethyl-6-methylheptan-2-yl]-9a,11a-dimethyl-1h,2h,3h,3ah,3bh,4h,6h,7h,8h,9h,9bh,10h,11h-cyclopenta[a]phenanthren-7-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",CCC(CCC(C)C1CCC2C3CC=C4CC(OC5OC(CO)C(O)C(O)C5O)CCC4(C)C3CCC12C)C(C)C,NPJICTMALKLTFW-PYOHOBBFSA-N,C35H60O6,576.8486311825436,41,11,1.0
Embelia ribes,LTS0234204,Q104938106,"4-[(4-hydroxy-3,6-dioxo-5-tridecylcyclohexa-1,4-dien-1-yl)amino]butanoic acid",CCCCCCCCCCCCCC1=C(O)C(=O)C=C(NCCCC(=O)O)C1=O,BLRBGSXHZIXFDR-UHFFFAOYSA-N,C23H37NO5,407.54446136256115,29,1,1.4027310695187216
Embelia ribes,LTS0189507,Q76423651,"5-[(8z,11z)-heptadeca-8,11-dien-1-yl]benzene-1,3-diol",CCCCCC=CCC=CCCCCCCCc1cc(O)cc(O)c1,LQLSZSURMCEKFF-HZJYTTRNSA-N,C23H36O2,344.53160261899114,25,1,1.0
Embelia ribes,LTS0104514,Q104987126,"5-(heptadec-8-en-1-yl)benzene-1,3-diol",CCCCCCCCC=CCCCCCCCc1cc(O)cc(O)c1,DQSWQRFGZIJUCI-UHFFFAOYSA-N,C23H38O2,346.54748412664276,25,1,1.0
Embelia ribes,LTS0120164,Q102165855,"(2s,3r,4s,5s,6r)-2-(4-hydroxy-2,6-dimethoxyphenoxy)-6-(hydroxymethyl)oxane-3,4,5-triol",COc1cc(O)cc(OC)c1OC1OC(CO)C(O)C(O)C1O,NOQYJICHFNSIFZ-DIACKHNESA-N,C14H20O9,332.30376197967234,23,2,1.0
Embelia ribes,LTS0246697,Q104991259,"3-undecylcyclohexa-2,5-diene-1,2,4,5-tetrol",CCCCCCCCCCCC1=C(O)C(O)C=C(O)C1O,DXYGFEDLPPKUBI-UHFFFAOYSA-N,C17H30O4,298.41835257044727,21,1,1.4994524251308432
Embelia ribes,LTS0225234,Q27135222,"(2r,3r,4s,5s,6r)-2-{[(1s,2r,3r)-7-hydroxy-1-(4-hydroxy-3,5-dimethoxyphenyl)-3-(hydroxymethyl)-6,8-dimethoxy-1,2,3,4-tetrahydronaphthalen-2-yl]methoxy}-6-(hydroxymethyl)oxane-3,4,5-triol",COc1cc(C2c3c(cc(OC)c(O)c3OC)CC(CO)C2COC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,PQQRNPDHSJDAGV-HQSXISOASA-N,C28H38O13,582.5946178138461,41,5,1.0
Embelia ribes,LTS0215775,Q105262674,koaburaside,COc1cc(OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,SWHCKWOYUSDWOF-UHFFFAOYSA-N,C14H20O9,332.30376197967234,23,2,1.0
Embelia ribes,LTS0229409,Q4682945,cardol,CCCCCCCCCCCCCCCc1cc(O)cc(O)c1,KVVSCMOUFCNCGX-UHFFFAOYSA-N,C21H36O2,320.51013082541516,23,1,1.0
Embelia ribes,LTS0050977,Q4913564,bilobol,CCCCCCC=CCCCCCCCc1cc(O)cc(O)c1,TUGAUFMQYWZJAB-FPLPWBNLSA-N,C21H34O2,318.4942493177636,23,1,1.0
Embelia ribes,LTS0011882,Q104399440,3-methoxy-5-pentylphenol,CCCCCc1cc(O)cc(OC)c1,MWWIDYNYLZQEQP-UHFFFAOYSA-N,C12H18O2,194.27057418545903,14,1,1.0
Embelia ribes,LTS0000383,Q104996821,"(2r,3r,4s,5s,6r)-2-{[(1s,2r,3s)-7-hydroxy-1-(4-hydroxy-3,5-dimethoxyphenyl)-3-(hydroxymethyl)-6,8-dimethoxy-1,2,3,4-tetrahydronaphthalen-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",COc1cc(C2c3c(cc(OC)c(O)c3OC)CC(CO)C2OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,FKUXFLUNGWSGIY-TUEVSTAHSA-N,C27H36O13,568.5680004094065,40,5,1.0
Embelia ribes,LTS0014155,Q76423649,"5-[(8z)-heptadec-8-en-1-yl]benzene-1,3-diol",CCCCCCCCC=CCCCCCCCc1cc(O)cc(O)c1,DQSWQRFGZIJUCI-KTKRTIGZSA-N,C23H38O2,346.54748412664276,25,1,1.0
Embelia ribes,LTS0015587,Q27134336,5-o-ethyl embelin,CCCCCCCCCCCC1=C(O)C(=O)C=C(OCC)C1=O,BKAZNQWWINLHDW-UHFFFAOYSA-N,C19H30O4,322.43982436402325,23,1,1.3108460523964898
Embelia ribes,LTS0031996,Q104970328,"5,6-dihydroxy-3-(3-hydroxy-5-oxo-4-tridecylfuran-2-ylidene)-7-tridecyl-1-benzofuran-2-one",CCCCCCCCCCCCCC1=C(O)C(=C2C(=O)Oc3c2cc(O)c(O)c3CCCCCCCCCCCCC)OC1=O,CUKDXKLGQVRPBL-UHFFFAOYSA-N,C38H58O7,626.8643622928254,45,4,1.122610066361384
Embelia ribes,LTS0097185,Q104991261,"(1s,4s)-3-undecylcyclohexa-2,5-diene-1,2,4,5-tetrol",CCCCCCCCCCCC1=C(O)C(O)C=C(O)C1O,DXYGFEDLPPKUBI-YOEHRIQHSA-N,C17H30O4,298.41835257044727,21,1,1.4994524251308432
Embelia ribes,LTS0090912,Q51617472,catechol,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,PFTAWBLQPZVEMU-UHFFFAOYSA-N,C15H14O6,290.2686385707974,21,4,1.0
Glycyrrhiza uralensis,LTS0104338,Q27108250,schaftoside,O=c1cc(-c2ccc(O)cc2)oc2c(C3OCC(O)C(O)C3O)c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,MMDUKUSNQNWVET-VYUBKLCTSA-N,C26H28O14,564.4931434095816,40,6,1.0
Glycyrrhiza uralensis,LTS0138668,Q27256724,echinatin,COc1cc(O)ccc1C=CC(=O)c1ccc(O)cc1,QJKMIJNRNRLQSS-WEVVVXLNSA-N,C16H14O4,270.28056461244665,20,2,1.0234314188109406
Glycyrrhiza uralensis,LTS0241372,Q63398496,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-{[(2s,3r,4r,5r,6s)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}chromen-4-one",O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,OVSQVDMCBVZWGM-LVWULRLVSA-N,C21H20O12,464.3771280398965,33,5,1.0
Glycyrrhiza uralensis,LTS0228554,,"(2s,3s,4s,5r,6s)-6-{[(3s,6ar,6bs,8as,11s,12ar,14ar,14bs)-11-carboxy-4,4,6a,6b,8a,11,14b-heptamethyl-14-oxo-2,3,4a,5,6,7,8,9,10,12,12a,14a-dodecahydro-1h-picen-3-yl]oxy}-5-{[(2r,3r,4s,5s,6s)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]oxy}-3,4-dihydroxyoxane-2-carboxylic acid",CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,LPLVUJXQOOQHMX-RQJCKTROSA-N,C42H62O16,822.9337132434047,58,16,1.191129049091233
Glycyrrhiza uralensis,LTS0249588,Q4811191,astragalin,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,JPUKWEQWGBDDQB-QSOFNFLRSA-N,C21H20O11,448.3777231123271,32,5,1.0
Glycyrrhiza uralensis,LTS0158548,Q104251512,"5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[(3r,4r,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-8-[(2s,3r,4s,5s)-3,4,5-trihydroxyoxan-2-yl]chromen-4-one",O=c1cc(-c2ccc(O)cc2)oc2c(C3OCC(O)C(O)C3O)c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,MMDUKUSNQNWVET-KXVPWDFFSA-N,C26H28O14,564.4931434095816,40,6,1.0
Glycyrrhiza uralensis,LTS0004664,Q104392596,licoflavone a,CC(C)=CCc1cc2c(=O)cc(-c3ccc(O)cc3)oc2cc1O,HJGURBGBPIKRER-UHFFFAOYSA-N,C20H18O4,322.3552712149018,24,4,1.0
Glycyrrhiza uralensis,LTS0032845,Q407857,3-rutinosyl quercetin,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,IKGXIBQEEMLURG-NVPNHPEKSA-N,C27H30O16,610.5185706691598,43,6,1.0
Glycyrrhiza uralensis,LTS0092525,Q3155537,"2',4,4'-trihydroxychalcone",O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,DXDRHHKMWQZJHT-FPYGCLRLSA-N,C15H12O4,256.25394720800705,19,2,1.0246646513799373
Glycyrrhiza uralensis,LTS0121878,Q418705,glycyrrhizin,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,LPLVUJXQOOQHMX-QWBHMCJMSA-N,C42H62O16,822.9337132434049,58,16,1.191129049091233
Glycyrrhiza uralensis,LTS0181160,Q104246935,vicenin 2,O=c1cc(-c2ccc(O)cc2)oc2c(C3OC(CO)C(O)C(O)C3O)c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,FIAAVMJLAGNUKW-PSCXIDSDSA-N,C27H30O15,594.5191657415905,42,6,1.0
Glycyrrhiza uralensis,LTS0005405,Q105222727,3-(4-hydroxy-2-methoxyphenyl)-1-(4-hydroxyphenyl)prop-2-en-1-one,COc1cc(O)ccc1C=CC(=O)c1ccc(O)cc1,QJKMIJNRNRLQSS-UHFFFAOYSA-N,C16H14O4,270.28056461244665,20,2,1.0234314188109406
Glycyrrhiza uralensis,LTS0251224,Q6557526,5-deoxyflavanone,O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21,FURUXTVZLHCCNA-AWEZNQCLSA-N,C15H12O4,256.25394720800705,19,4,1.0246646513799373
Glycyrrhiza uralensis,LTS0132318,Q105289081,licuroside,O=C(C=Cc1ccc(OC2OC(CO)C(O)C(O)C2OC2OCC(O)(CO)C2O)cc1)c1ccc(O)cc1O,VMMVZVPAYFZNBM-FPYGCLRLSA-N,C26H30O13,550.5096199896637,39,4,1.0246646513799373
Glycyrrhiza uralensis,LTS0082756,Q408859,formononetin,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,C16H12O4,268.26468310479504,20,4,1.0
Glycyrrhiza uralensis,LTS0103894,Q104977351,liquiritin,O=C1CC(c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)Oc2cc(O)ccc21,DEMKZLAVQYISIA-UZQFATADSA-N,C21H22O9,418.39479476483984,30,5,1.0246646513799373
Glycyrrhiza uralensis,LTS0155090,Q72487544,"7,4'-dihydroxyflavanone",O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21,FURUXTVZLHCCNA-UHFFFAOYSA-N,C15H12O4,256.25394720800705,19,4,1.0246646513799373
Glycyrrhiza uralensis,LTS0261149,Q56036865,"medicarpin, (-)-",COc1ccc2c(c1)OC1c3ccc(O)cc3OCC21,NSRJSISNDPOJOP-BBRMVZONSA-N,C16H14O4,270.28056461244665,20,10,1.0
Glycyrrhiza uralensis,LTS0148155,Q104392593,"(2s,3s,4s,5r,6s)-6-{[(3s,4ar,6ar,6bs,8as,11s,12ar,14ar,14bs)-11-carboxy-4,4,6a,6b,8a,11,14b-heptamethyl-14-oxo-2,3,4a,5,6,7,8,9,10,12,12a,14a-dodecahydro-1h-picen-3-yl]oxy}-3,4-dihydroxy-5-{[(2s,3r,4s,5s)-3,4,5-trihydroxyoxan-2-yl]oxy}oxane-2-carboxylic acid",CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OCC(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,DTMJARJUCFBMFR-ZHGMGIEYSA-N,C41H62O14,778.9241674914782,55,16,1.191129049091233
Glycyrrhiza uralensis,LTS0141508,Q76005702,pinocembrine,O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,URFCJEUYXNAHFI-ZDUSSCGKSA-N,C15H12O4,256.25394720800705,19,4,1.0246646513799373
Glycyrrhiza uralensis,LTS0186848,Q27137427,glycycoumarin,COc1c(CC=C(C)C)c(O)cc2oc(=O)c(-c3ccc(O)cc3O)cc12,NZYSZZDSYIBYLC-UHFFFAOYSA-N,C21H20O6,368.38069847448014,27,4,1.0
Glycyrrhiza uralensis,LTS0269210,Q27216301,3-[4-hydroxy-2-methoxy-5-(2-methylbut-3-en-2-yl)phenyl]-1-(4-hydroxyphenyl)prop-2-en-1-one,C=CC(C)(C)c1cc(C=CC(=O)c2ccc(O)cc2)c(OC)cc1O,KAZSKMJFUPEHHW-UHFFFAOYSA-N,C21H22O4,338.3977701269929,25,2,1.0187451350487522
Glycyrrhiza uralensis,LTS0263391,Q27103795,licoisoflavone a,CC(C)=CCc1c(O)ccc(-c2coc3cc(O)cc(O)c3c2=O)c1O,KCUZCRLRQVRBBV-UHFFFAOYSA-N,C20H18O6,354.3540810700406,26,4,1.0
Glycyrrhiza uralensis,LTS0192338,Q27278876,licochalcone b,COc1c(C=CC(=O)c2ccc(O)cc2)ccc(O)c1O,DRDRYGIIYOPBBZ-XBXARRHUSA-N,C16H14O5,286.27996954001605,21,2,1.0223156369628004
Glycyrrhiza uralensis,LTS0213422,Q3242316,liquiritin,O=C1CC(c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)Oc2cc(O)ccc21,DEMKZLAVQYISIA-ZRWXNEIDSA-N,C21H22O9,418.39479476483984,30,5,1.0246646513799373
Glycyrrhiza uralensis,LTS0216345,Q104977346,"7-hydroxy-2-(4-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)-2,3-dihydro-1-benzopyran-4-one",O=C1CC(c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)Oc2cc(O)ccc21,DEMKZLAVQYISIA-UHFFFAOYSA-N,C21H22O9,418.39479476483984,30,5,1.0246646513799373
Glycyrrhiza uralensis,LTS0188438,Q27270984,liquiritin apioside,O=C1CC(c2ccc(OC3OC(CO)C(O)C(O)C3OC3OCC(O)(CO)C3O)cc2)Oc2cc(O)ccc21,FTVKHUHJWDMWIR-DWMQJYMWSA-N,C26H30O13,550.5096199896637,39,6,1.0246646513799373
Glycyrrhiza uralensis,LTS0051422,Q27151336,isoliquiritin,O=C(C=Cc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1)c1ccc(O)cc1O,YNWXJFQOCHMPCK-LXGDFETPSA-N,C21H22O9,418.39479476483984,30,3,1.0246646513799373
Glycyrrhiza uralensis,LTS0113391,Q105351142,"1-(2,4-dihydroxyphenyl)-3-(4-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)prop-2-en-1-one",O=C(C=Cc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1)c1ccc(O)cc1O,YNWXJFQOCHMPCK-UHFFFAOYSA-N,C21H22O9,418.39479476483984,30,3,1.0246646513799373
Glycyrrhiza uralensis,LTS0024924,Q27149874,glycyrol,COc1c(CC=C(C)C)c(O)cc2oc(=O)c3c4ccc(O)cc4oc3c12,LWESBHWAOZORCQ-UHFFFAOYSA-N,C21H18O6,366.3648169668286,27,10,1.0
Glycyrrhiza uralensis,LTS0018907,Q1644097,licochalcone a,C=CC(C)(C)c1cc(C=CC(=O)c2ccc(O)cc2)c(OC)cc1O,KAZSKMJFUPEHHW-DHZHZOJOSA-N,C21H22O4,338.3977701269929,25,2,1.0187451350487522
Glycyrrhiza uralensis,LTS0132017,Q82971837,licoisoflavanone,CC1(C)C=Cc2c(ccc(C3COc4cc(O)cc(O)c4C3=O)c2O)O1,JNDPLDZUOFZXIG-UHFFFAOYSA-N,C20H18O6,354.3540810700406,26,6,1.018024168316108
Glycyrrhiza uralensis,LTS0075204,Q27273226,glabrone,CC1(C)C=Cc2c(ccc(-c3coc4cc(O)ccc4c3=O)c2O)O1,COLMVFWKLOZOOP-UHFFFAOYSA-N,C20H16O5,336.3387946348196,25,6,1.0
Glycyrrhiza uralensis,LTS0073369,Q104250901,formononetin 7-o-glucoside,COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)ccc3c2=O)cc1,MGJLSBDCWOSMHL-YSZROVPYSA-N,C22H22O9,430.40553066162784,31,5,1.0
Glycyrrhiza uralensis,LTS0191687,Q27149418,(-)-vestitol,COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1,XRVFNNUXNVWYTI-NSHDSACASA-N,C16H16O4,272.2964461200982,20,4,1.0
Glycyrrhiza uralensis,LTS0072984,Q105000639,3'-dimethylallylkievitone,CC(C)=CCc1c(O)ccc(C2COc3c(CC=C(C)C)c(O)cc(O)c3C2=O)c1O,FSHPJPOJLGCQOJ-UHFFFAOYSA-N,C25H28O6,424.48716809223845,31,4,1.015117044394155
Glycyrrhiza uralensis,LTS0168004,Q105349887,"(1s,10s)-3-methoxy-15-(3-methylbut-2-en-1-yl)-8,17-dioxatetracyclo[8.7.0.0²,⁷.0¹¹,¹⁶]heptadeca-2(7),3,5,11(16),12,14-hexaene-5,14-diol",COc1cc(O)cc2c1C1Oc3c(ccc(O)c3CC=C(C)C)C1CO2,YKTZRMXYANFKQR-VFNWGFHPSA-N,C21H22O5,354.39717505456235,26,10,1.0
Glycyrrhiza uralensis,LTS0086210,Q105272178,glycyrrhiza flavonol a,CC1(C)Oc2ccc(-c3oc4cc(O)cc(O)c4c(=O)c3O)cc2CC1O,UFWHTSBKDGUFOX-UHFFFAOYSA-N,C20H18O7,370.35348599760994,27,6,1.0
Glycyrrhiza uralensis,LTS0269568,Q104392600,"(2s,3s,4s,5r,6s)-6-{[(3s,4ar,6ar,6bs,8as,11s,12ar,14ar,14bs)-11-carboxy-4,4,6a,6b,8a,11,14b-heptamethyl-14-oxo-2,3,4a,5,6,7,8,9,10,12,12a,14a-dodecahydro-1h-picen-3-yl]oxy}-5-{[(2s,3r,4r)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy}-3,4-dihydroxyoxane-2-carboxylic acid",CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OCC(O)(CO)C6O)C(C)(C)C5CCC43C)C2C1,RETHOWGCGNZYSL-NNWQLOHHSA-N,C41H62O14,778.9241674914782,55,16,1.191129049091233
Glycyrrhiza uralensis,LTS0142270,Q105155240,liquorice,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,LPLVUJXQOOQHMX-UHFFFAOYSA-N,C42H62O16,822.9337132434049,58,16,1.191129049091233
Glycyrrhiza uralensis,LTS0155292,Q748200,pinocembrin,O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,URFCJEUYXNAHFI-UHFFFAOYSA-N,C15H12O4,256.25394720800705,19,4,1.0246646513799373
Glycyrrhiza uralensis,LTS0198644,Q5948038,glycyrrhetinic acid,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,MPDGHEJMBKOTSU-YKLVYJNSSA-N,C30H46O4,470.6849712899038,34,14,1.191129049091233
Glycyrrhiza uralensis,LTS0089369,Q104987344,"3-(3,4-dihydroxy-2-methoxyphenyl)-1-(4-hydroxyphenyl)prop-2-en-1-one",COc1c(C=CC(=O)c2ccc(O)cc2)ccc(O)c1O,DRDRYGIIYOPBBZ-UHFFFAOYSA-N,C16H14O5,286.27996954001605,21,2,1.0223156369628004
Glycyrrhiza uralensis,LTS0274337,Q27137421,licoricidin,COc1c(CC=C(C)C)c(O)cc2c1CC(c1ccc(O)c(CC=C(C)C)c1O)CO2,GBRZTUJCDFSIHM-KRWDZBQOSA-N,C26H32O5,424.5302620767601,31,4,1.0
Glycyrrhiza uralensis,LTS0219719,Q27272427,licoflavonol,CC(C)=CCc1c(O)cc2oc(-c3ccc(O)cc3)c(O)c(=O)c2c1O,TVMHBSODLWMMMV-UHFFFAOYSA-N,C20H18O6,354.35408107004054,26,4,1.0
Glycyrrhiza uralensis,LTS0195438,Q27137428,(+/-)-vestitol,COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1,XRVFNNUXNVWYTI-UHFFFAOYSA-N,C16H16O4,272.2964461200982,20,4,1.0
